DMG ALTERNATE FORME aegislashblade: pkmn: 'Blade' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME zygarde: pkmn: 'undefined' '50%', dmg: 'undefined'
DMG CANEVOLVE argalis: pkmn: 'aurumoth', dmg: 'undefined'
DMG CANEVOLVE brattler: pkmn: 'malaconda', dmg: 'undefined'
DMG CANEVOLVE breezi: pkmn: 'fidgit', dmg: 'undefined'
DMG CANEVOLVE caimanoe: pkmn: 'naviathan', dmg: 'undefined'
DMG CANEVOLVE cawdet: pkmn: 'cawmodore', dmg: 'undefined'
DMG CANEVOLVE cupra: pkmn: 'argalis', dmg: 'undefined'
DMG CANEVOLVE embirch: pkmn: 'flarelm', dmg: 'undefined'
DMG CANEVOLVE flarelm: pkmn: 'pyroak', dmg: 'undefined'
DMG CANEVOLVE floatoy: pkmn: 'caimanoe', dmg: 'undefined'
DMG CANEVOLVE gogoat: pkmn: 'undefined', dmg: 'true'
DMG CANEVOLVE machamp: pkmn: 'undefined', dmg: 'true'
DMG CANEVOLVE necturine: pkmn: 'necturna', dmg: 'undefined'
DMG CANEVOLVE pichu: pkmn: 'undefined', dmg: 'true'
DMG CANEVOLVE pluffle: pkmn: 'kerfluffle', dmg: 'undefined'
DMG CANEVOLVE poliwrath: pkmn: 'undefined', dmg: 'true'
DMG CANEVOLVE slurpuff: pkmn: 'undefined', dmg: 'true'
DMG CANEVOLVE snugglow: pkmn: 'plasmanta', dmg: 'undefined'
DMG CANEVOLVE syclar: pkmn: 'syclant', dmg: 'undefined'
DMG GENDER arceusfairy: pkmn: 'N', dmg: 'undefined'
DMG GENDER blissey: pkmn: 'F', dmg: 'undefined'
DMG GENDER braviary: pkmn: 'M', dmg: 'undefined'
DMG GENDER chansey: pkmn: 'F', dmg: 'undefined'
DMG GENDER cresselia: pkmn: 'F', dmg: 'undefined'
DMG GENDER flabebe: pkmn: 'F', dmg: 'undefined'
DMG GENDER floette: pkmn: 'F', dmg: 'undefined'
DMG GENDER floetteeternal: pkmn: 'F', dmg: 'undefined'
DMG GENDER florges: pkmn: 'F', dmg: 'undefined'
DMG GENDER froslass: pkmn: 'F', dmg: 'undefined'
DMG GENDER gallade: pkmn: 'M', dmg: 'undefined'
DMG GENDER gallademega: pkmn: 'M', dmg: 'undefined'
DMG GENDER giratina: pkmn: 'N', dmg: 'undefined'
DMG GENDER giratinaorigin: pkmn: 'N', dmg: 'undefined'
DMG GENDER groudonprimal: pkmn: 'N', dmg: 'undefined'
DMG GENDER happiny: pkmn: 'F', dmg: 'undefined'
DMG GENDER hitmonchan: pkmn: 'M', dmg: 'undefined'
DMG GENDER hitmonlee: pkmn: 'M', dmg: 'undefined'
DMG GENDER hitmontop: pkmn: 'M', dmg: 'undefined'
DMG GENDER illumise: pkmn: 'F', dmg: 'undefined'
DMG GENDER jynx: pkmn: 'F', dmg: 'undefined'
DMG GENDER kangaskhan: pkmn: 'F', dmg: 'undefined'
DMG GENDER kangaskhanmega: pkmn: 'F', dmg: 'undefined'
DMG GENDER landorus: pkmn: 'M', dmg: 'undefined'
DMG GENDER landorustherian: pkmn: 'M', dmg: 'undefined'
DMG GENDER latias: pkmn: 'F', dmg: 'undefined'
DMG GENDER latiasmega: pkmn: 'F', dmg: 'undefined'
DMG GENDER latios: pkmn: 'M', dmg: 'undefined'
DMG GENDER latiosmega: pkmn: 'M', dmg: 'undefined'
DMG GENDER lilligant: pkmn: 'F', dmg: 'undefined'
DMG GENDER mandibuzz: pkmn: 'F', dmg: 'undefined'
DMG GENDER miltank: pkmn: 'F', dmg: 'undefined'
DMG GENDER mothim: pkmn: 'M', dmg: 'undefined'
DMG GENDER necturine: pkmn: 'F', dmg: 'undefined'
DMG GENDER necturna: pkmn: 'F', dmg: 'undefined'
DMG GENDER nidoking: pkmn: 'M', dmg: 'undefined'
DMG GENDER nidoqueen: pkmn: 'F', dmg: 'undefined'
DMG GENDER nidoranf: pkmn: 'F', dmg: 'undefined'
DMG GENDER nidoranm: pkmn: 'M', dmg: 'undefined'
DMG GENDER nidorina: pkmn: 'F', dmg: 'undefined'
DMG GENDER nidorino: pkmn: 'M', dmg: 'undefined'
DMG GENDER petilil: pkmn: 'F', dmg: 'undefined'
DMG GENDER rayquazamega: pkmn: 'N', dmg: 'undefined'
DMG GENDER rufflet: pkmn: 'M', dmg: 'undefined'
DMG GENDER sawk: pkmn: 'M', dmg: 'undefined'
DMG GENDER smoochum: pkmn: 'F', dmg: 'undefined'
DMG GENDER starmie: pkmn: 'N', dmg: 'undefined'
DMG GENDER staryu: pkmn: 'N', dmg: 'undefined'
DMG GENDER stratagem: pkmn: 'N', dmg: 'undefined'
DMG GENDER tauros: pkmn: 'M', dmg: 'undefined'
DMG GENDER throh: pkmn: 'M', dmg: 'undefined'
DMG GENDER thundurus: pkmn: 'M', dmg: 'undefined'
DMG GENDER thundurustherian: pkmn: 'M', dmg: 'undefined'
DMG GENDER tornadus: pkmn: 'M', dmg: 'undefined'
DMG GENDER tornadustherian: pkmn: 'M', dmg: 'undefined'
DMG GENDER tyrogue: pkmn: 'M', dmg: 'undefined'
DMG GENDER vespiquen: pkmn: 'F', dmg: 'undefined'
DMG GENDER volbeat: pkmn: 'M', dmg: 'undefined'
DMG GENDER voltorb: pkmn: 'N', dmg: 'undefined'
DMG GENDER vullaby: pkmn: 'F', dmg: 'undefined'
DMG GENDER wormadam: pkmn: 'F', dmg: 'undefined'
DMG GENDER wormadamsandy: pkmn: 'F', dmg: 'undefined'
DMG GENDER wormadamtrash: pkmn: 'F', dmg: 'undefined'
DMG MISSING aegislash
DMG MISSING basculinbluestriped
DMG MISSING castformrainy
DMG MISSING castformsnowy
DMG MISSING castformsunny
DMG MISSING cherrimsunshine
DMG MISSING darmanitanzen
DMG MISSING genesectburn
DMG MISSING genesectchill
DMG MISSING genesectdouse
DMG MISSING genesectshock
DMG MISSING keldeoresolute
DMG MISSING meloettapirouette
DMG MISSING meowstic
DMG MISSING meowsticf
DMG MISSING pichuspikyeared
DMG MISSING pikachubelle
DMG MISSING pikachucosplay
DMG MISSING pikachulibre
DMG MISSING pikachuphd
DMG MISSING pikachupopstar
DMG MISSING pikachurockstar
DMG MISSING privatyke
DMG MISSING pumpkaboo
DMG MISSING rebble
DMG MISSING tactite
DMG MISSING vivillonfancy
DMG MISSING vivillonpokeball
DMG MISSING voodoll
DMG NAME flabebe: pkmn: 'Flabébé', dmg: 'Flabebe'
DMG WEIGHT aegislashblade: pkmn: '53', dmg: '10'
DMG WEIGHT diggersby: pkmn: '42.4', dmg: '10'
DMG WEIGHT fletchinder: pkmn: '16', dmg: '10'
DMG WEIGHT gourgeist: pkmn: '12.5', dmg: '10'
DMG WEIGHT gourgeistlarge: pkmn: '14', dmg: '10'
DMG WEIGHT gourgeistsmall: pkmn: '9.5', dmg: '10'
DMG WEIGHT gourgeistsuper: pkmn: '39', dmg: '10'
DMG WEIGHT pumpkaboolarge: pkmn: '7.5', dmg: '10'
DMG WEIGHT pumpkaboosmall: pkmn: '3.5', dmg: '10'
DMG WEIGHT pumpkaboosuper: pkmn: '15', dmg: '10'
PSIM EVOS cubone: pkmn: 'marowak', psim: 'marowak,marowakalola'
PSIM EVOS exeggcute: pkmn: 'exeggutor', psim: 'exeggutor,exeggutoralola'
PSIM EVOS pichu: pkmn: 'undefined', psim: 'pikachu'
PSIM EVOS pikachu: pkmn: 'raichu', psim: 'raichu,raichualola'
PSIM OTHERFORMES diglett: pkmn: 'undefined', psim: 'diglettalola'
PSIM OTHERFORMES dugtrio: pkmn: 'undefined', psim: 'dugtrioalola'
PSIM OTHERFORMES eevee: pkmn: 'undefined', psim: 'eeveestarter'
PSIM OTHERFORMES exeggutor: pkmn: 'undefined', psim: 'exeggutoralola'
PSIM OTHERFORMES geodude: pkmn: 'undefined', psim: 'geodudealola'
PSIM OTHERFORMES golem: pkmn: 'undefined', psim: 'golemalola'
PSIM OTHERFORMES graveler: pkmn: 'undefined', psim: 'graveleralola'
PSIM OTHERFORMES greninja: pkmn: 'undefined', psim: 'greninjaash'
PSIM OTHERFORMES grimer: pkmn: 'undefined', psim: 'grimeralola'
PSIM OTHERFORMES marowak: pkmn: 'undefined', psim: 'marowakalola,marowakalolatotem'
PSIM OTHERFORMES meowth: pkmn: 'undefined', psim: 'meowthalola'
PSIM OTHERFORMES muk: pkmn: 'undefined', psim: 'mukalola'
PSIM OTHERFORMES ninetales: pkmn: 'undefined', psim: 'ninetalesalola'
PSIM OTHERFORMES persian: pkmn: 'undefined', psim: 'persianalola'
PSIM OTHERFORMES pikachu: pkmn: 'pikachucosplay,pikachurockstar,pikachubelle,pikachupopstar,pikachuphd,pikachulibre', psim: 'pikachucosplay,pikachurockstar,pikachubelle,pikachupopstar,pikachuphd,pikachulibre,pikachuoriginal,pikachuhoenn,pikachusinnoh,pikachuunova,pikachukalos,pikachualola,pikachupartner,pikachustarter'
PSIM OTHERFORMES raichu: pkmn: 'undefined', psim: 'raichualola'
PSIM OTHERFORMES raticate: pkmn: 'undefined', psim: 'raticatealola,raticatealolatotem'
PSIM OTHERFORMES rattata: pkmn: 'undefined', psim: 'rattataalola'
PSIM OTHERFORMES sandshrew: pkmn: 'undefined', psim: 'sandshrewalola'
PSIM OTHERFORMES sandslash: pkmn: 'undefined', psim: 'sandslashalola'
PSIM OTHERFORMES vulpix: pkmn: 'undefined', psim: 'vulpixalola'
PSIM OTHERFORMES zygarde: pkmn: 'undefined', psim: 'zygarde10,zygardecomplete'
PSIM TIER garchompmega: pkmn: 'OU', psim: '(OU)'
PSIM TIER latiasmega: pkmn: 'OU', psim: '(OU)'
PSIM TIER latiosmega: pkmn: 'OU', psim: '(OU)'
PSIM TIER slowbromega: pkmn: 'OU', psim: '(OU)'
PSIM TIER tyranitarmega: pkmn: 'OU', psim: '(OU)'
