DMG ALTERNATE FORME aegislashblade: pkmn: 'Blade' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallyelectric: pkmn: 'Electric' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallyfairy: pkmn: 'Fairy' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallyfighting: pkmn: 'Fighting' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallyfire: pkmn: 'Fire' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallyflying: pkmn: 'Flying' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallyghost: pkmn: 'Ghost' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallygrass: pkmn: 'Grass' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallyground: pkmn: 'Ground' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallyice: pkmn: 'Ice' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallypoison: pkmn: 'Poison' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallypsychic: pkmn: 'Psychic' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallyrock: pkmn: 'Rock' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallysteel: pkmn: 'Steel' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME silvallywater: pkmn: 'Water' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME thundurus: pkmn: 'undefined' 'Incarnate', dmg: 'undefined'
DMG ALTERNATE FORME thundurustherian: pkmn: 'Therian' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME tornadus: pkmn: 'undefined' 'Incarnate', dmg: 'undefined'
DMG ALTERNATE FORME tornadustherian: pkmn: 'Therian' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME unown: pkmn: 'undefined' 'A', dmg: 'undefined'
DMG ALTERNATE FORME wishiwashi: pkmn: 'undefined' 'Solo', dmg: 'undefined'
DMG ALTERNATE FORME wormadam: pkmn: 'undefined' 'Plant', dmg: 'undefined'
DMG ALTERNATE FORME wormadamsandy: pkmn: 'Sandy' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME wormadamtrash: pkmn: 'Trash' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME zygarde: pkmn: 'undefined' '50%', dmg: 'undefined'
DMG CANEVOLVE argalis: pkmn: 'aurumoth', dmg: 'undefined'
DMG CANEVOLVE brattler: pkmn: 'malaconda', dmg: 'undefined'
DMG CANEVOLVE breezi: pkmn: 'fidgit', dmg: 'undefined'
DMG CANEVOLVE caimanoe: pkmn: 'naviathan', dmg: 'undefined'
DMG CANEVOLVE cawdet: pkmn: 'cawmodore', dmg: 'undefined'
DMG CANEVOLVE cupra: pkmn: 'argalis', dmg: 'undefined'
DMG CANEVOLVE embirch: pkmn: 'flarelm', dmg: 'undefined'
DMG CANEVOLVE flarelm: pkmn: 'pyroak', dmg: 'undefined'
DMG CANEVOLVE floatoy: pkmn: 'caimanoe', dmg: 'undefined'
DMG CANEVOLVE gogoat: pkmn: 'undefined', dmg: 'true'
DMG CANEVOLVE machamp: pkmn: 'undefined', dmg: 'true'
DMG CANEVOLVE necturine: pkmn: 'necturna', dmg: 'undefined'
DMG CANEVOLVE oranguru: pkmn: 'undefined', dmg: 'true'
DMG CANEVOLVE pichu: pkmn: 'undefined', dmg: 'true'
DMG CANEVOLVE pluffle: pkmn: 'kerfluffle', dmg: 'undefined'
DMG CANEVOLVE poliwrath: pkmn: 'undefined', dmg: 'true'
DMG CANEVOLVE slurpuff: pkmn: 'undefined', dmg: 'true'
DMG CANEVOLVE snugglow: pkmn: 'plasmanta', dmg: 'undefined'
DMG CANEVOLVE syclar: pkmn: 'syclant', dmg: 'undefined'
DMG GENDER arceusfairy: pkmn: 'N', dmg: 'undefined'
DMG GENDER blissey: pkmn: 'F', dmg: 'undefined'
DMG GENDER bounsweet: pkmn: 'F', dmg: 'undefined'
DMG GENDER braviary: pkmn: 'M', dmg: 'undefined'
DMG GENDER chansey: pkmn: 'F', dmg: 'undefined'
DMG GENDER cresselia: pkmn: 'F', dmg: 'undefined'
DMG GENDER flabebe: pkmn: 'F', dmg: 'undefined'
DMG GENDER floette: pkmn: 'F', dmg: 'undefined'
DMG GENDER floetteeternal: pkmn: 'F', dmg: 'undefined'
DMG GENDER florges: pkmn: 'F', dmg: 'undefined'
DMG GENDER froslass: pkmn: 'F', dmg: 'undefined'
DMG GENDER gallade: pkmn: 'M', dmg: 'undefined'
DMG GENDER gallademega: pkmn: 'M', dmg: 'undefined'
DMG GENDER giratina: pkmn: 'N', dmg: 'undefined'
DMG GENDER giratinaorigin: pkmn: 'N', dmg: 'undefined'
DMG GENDER greninjaash: pkmn: 'M', dmg: 'undefined'
DMG GENDER groudonprimal: pkmn: 'N', dmg: 'undefined'
DMG GENDER happiny: pkmn: 'F', dmg: 'undefined'
DMG GENDER hitmonchan: pkmn: 'M', dmg: 'undefined'
DMG GENDER hitmonlee: pkmn: 'M', dmg: 'undefined'
DMG GENDER hitmontop: pkmn: 'M', dmg: 'undefined'
DMG GENDER illumise: pkmn: 'F', dmg: 'undefined'
DMG GENDER jynx: pkmn: 'F', dmg: 'undefined'
DMG GENDER kangaskhan: pkmn: 'F', dmg: 'undefined'
DMG GENDER kangaskhanmega: pkmn: 'F', dmg: 'undefined'
DMG GENDER landorus: pkmn: 'M', dmg: 'undefined'
DMG GENDER landorustherian: pkmn: 'M', dmg: 'undefined'
DMG GENDER latias: pkmn: 'F', dmg: 'undefined'
DMG GENDER latiasmega: pkmn: 'F', dmg: 'undefined'
DMG GENDER latios: pkmn: 'M', dmg: 'undefined'
DMG GENDER latiosmega: pkmn: 'M', dmg: 'undefined'
DMG GENDER lilligant: pkmn: 'F', dmg: 'undefined'
DMG GENDER mandibuzz: pkmn: 'F', dmg: 'undefined'
DMG GENDER miltank: pkmn: 'F', dmg: 'undefined'
DMG GENDER miniormeteor: pkmn: 'N', dmg: 'undefined'
DMG GENDER mothim: pkmn: 'M', dmg: 'undefined'
DMG GENDER necturine: pkmn: 'F', dmg: 'undefined'
DMG GENDER necturna: pkmn: 'F', dmg: 'undefined'
DMG GENDER nidoking: pkmn: 'M', dmg: 'undefined'
DMG GENDER nidoqueen: pkmn: 'F', dmg: 'undefined'
DMG GENDER nidoranf: pkmn: 'F', dmg: 'undefined'
DMG GENDER nidoranm: pkmn: 'M', dmg: 'undefined'
DMG GENDER nidorina: pkmn: 'F', dmg: 'undefined'
DMG GENDER nidorino: pkmn: 'M', dmg: 'undefined'
DMG GENDER petilil: pkmn: 'F', dmg: 'undefined'
DMG GENDER rayquazamega: pkmn: 'N', dmg: 'undefined'
DMG GENDER rufflet: pkmn: 'M', dmg: 'undefined'
DMG GENDER salazzle: pkmn: 'F', dmg: 'undefined'
DMG GENDER salazzletotem: pkmn: 'F', dmg: 'undefined'
DMG GENDER sawk: pkmn: 'M', dmg: 'undefined'
DMG GENDER smoochum: pkmn: 'F', dmg: 'undefined'
DMG GENDER starmie: pkmn: 'N', dmg: 'undefined'
DMG GENDER staryu: pkmn: 'N', dmg: 'undefined'
DMG GENDER steenee: pkmn: 'F', dmg: 'undefined'
DMG GENDER stratagem: pkmn: 'N', dmg: 'undefined'
DMG GENDER tauros: pkmn: 'M', dmg: 'undefined'
DMG GENDER throh: pkmn: 'M', dmg: 'undefined'
DMG GENDER thundurus: pkmn: 'M', dmg: 'undefined'
DMG GENDER thundurustherian: pkmn: 'M', dmg: 'undefined'
DMG GENDER tornadus: pkmn: 'M', dmg: 'undefined'
DMG GENDER tornadustherian: pkmn: 'M', dmg: 'undefined'
DMG GENDER tsareena: pkmn: 'F', dmg: 'undefined'
DMG GENDER tyrogue: pkmn: 'M', dmg: 'undefined'
DMG GENDER vespiquen: pkmn: 'F', dmg: 'undefined'
DMG GENDER volbeat: pkmn: 'M', dmg: 'undefined'
DMG GENDER voltorb: pkmn: 'N', dmg: 'undefined'
DMG GENDER vullaby: pkmn: 'F', dmg: 'undefined'
DMG GENDER wormadam: pkmn: 'F', dmg: 'undefined'
DMG GENDER wormadamsandy: pkmn: 'F', dmg: 'undefined'
DMG GENDER wormadamtrash: pkmn: 'F', dmg: 'undefined'
DMG GENDER zeraora: pkmn: 'N', dmg: 'undefined'
DMG MISSING aegislash
DMG MISSING basculinbluestriped
DMG MISSING caribolt
DMG MISSING castformrainy
DMG MISSING castformsnowy
DMG MISSING castformsunny
DMG MISSING cherrimsunshine
DMG MISSING darmanitanzen
DMG MISSING eeveestarter
DMG MISSING genesectburn
DMG MISSING genesectchill
DMG MISSING genesectdouse
DMG MISSING genesectshock
DMG MISSING keldeoresolute
DMG MISSING magearnaoriginal
DMG MISSING melmetal
DMG MISSING meloettapirouette
DMG MISSING meltan
DMG MISSING meowstic
DMG MISSING meowsticf
DMG MISSING mimikyubusted
DMG MISSING mimikyubustedtotem
DMG MISSING mumbao
DMG MISSING pichuspikyeared
DMG MISSING pikachualola
DMG MISSING pikachubelle
DMG MISSING pikachucosplay
DMG MISSING pikachuhoenn
DMG MISSING pikachukalos
DMG MISSING pikachulibre
DMG MISSING pikachuoriginal
DMG MISSING pikachupartner
DMG MISSING pikachuphd
DMG MISSING pikachupopstar
DMG MISSING pikachurockstar
DMG MISSING pikachusinnoh
DMG MISSING pikachustarter
DMG MISSING pikachuunova
DMG MISSING privatyke
DMG MISSING pumpkaboo
DMG MISSING rebble
DMG MISSING smokomodo
DMG MISSING snaelstrom
DMG MISSING tactite
DMG MISSING vivillonfancy
DMG MISSING vivillonpokeball
DMG MISSING voodoll
DMG NAME flabebe: pkmn: 'Flabébé', dmg: 'Flabebe'
DMG WEIGHT aegislashblade: pkmn: '53', dmg: '10'
DMG WEIGHT diggersby: pkmn: '42.4', dmg: '10'
DMG WEIGHT fletchinder: pkmn: '16', dmg: '10'
DMG WEIGHT gourgeist: pkmn: '12.5', dmg: '10'
DMG WEIGHT gourgeistlarge: pkmn: '14', dmg: '10'
DMG WEIGHT gourgeistsmall: pkmn: '9.5', dmg: '10'
DMG WEIGHT gourgeistsuper: pkmn: '39', dmg: '10'
DMG WEIGHT lurantis: pkmn: '18.5', dmg: '19.5'
DMG WEIGHT pumpkaboolarge: pkmn: '7.5', dmg: '10'
DMG WEIGHT pumpkaboosmall: pkmn: '3.5', dmg: '10'
DMG WEIGHT pumpkaboosuper: pkmn: '15', dmg: '10'
DMG WEIGHT tsareena: pkmn: '21.4', dmg: '47.2'
PSIM EVOS pichu: pkmn: 'undefined', psim: 'pikachu'
PSIM TIER abomasnow: pkmn: 'PU', psim: '(PU)'
PSIM TIER altaria: pkmn: 'PU', psim: '(PU)'
PSIM TIER ampharos: pkmn: 'PU', psim: '(PU)'
PSIM TIER arbok: pkmn: 'PU', psim: '(PU)'
PSIM TIER ariados: pkmn: 'PU', psim: '(PU)'
PSIM TIER armaldo: pkmn: 'PU', psim: '(PU)'
PSIM TIER avalugg: pkmn: 'PU', psim: '(PU)'
PSIM TIER banette: pkmn: 'PU', psim: '(PU)'
PSIM TIER basculin: pkmn: 'PU', psim: '(PU)'
PSIM TIER basculinbluestriped: pkmn: 'PU', psim: '(PU)'
PSIM TIER bastiodon: pkmn: 'PU', psim: '(PU)'
PSIM TIER beartic: pkmn: 'PU', psim: '(PU)'
PSIM TIER beautifly: pkmn: 'PU', psim: '(PU)'
PSIM TIER beedrill: pkmn: 'PU', psim: '(PU)'
PSIM TIER beheeyem: pkmn: 'PU', psim: '(PU)'
PSIM TIER bellossom: pkmn: 'PU', psim: '(PU)'
PSIM TIER bibarel: pkmn: 'PU', psim: '(PU)'
PSIM TIER bouffalant: pkmn: 'PU', psim: '(PU)'
PSIM TIER butterfree: pkmn: 'PU', psim: '(PU)'
PSIM TIER cacturne: pkmn: 'PU', psim: '(PU)'
PSIM TIER camerupt: pkmn: 'PU', psim: '(PU)'
PSIM TIER carbink: pkmn: 'PU', psim: '(PU)'
PSIM TIER carnivine: pkmn: 'PU', psim: '(PU)'
PSIM TIER castform: pkmn: 'PU', psim: '(PU)'
PSIM TIER castformrainy: pkmn: 'PU', psim: '(PU)'
PSIM TIER castformsnowy: pkmn: 'PU', psim: '(PU)'
PSIM TIER castformsunny: pkmn: 'PU', psim: '(PU)'
PSIM TIER chatot: pkmn: 'PU', psim: '(PU)'
PSIM TIER cherrim: pkmn: 'PU', psim: '(PU)'
PSIM TIER cherrimsunshine: pkmn: 'PU', psim: '(PU)'
PSIM TIER chimecho: pkmn: 'PU', psim: '(PU)'
PSIM TIER corsola: pkmn: 'PU', psim: '(PU)'
PSIM TIER crabominable: pkmn: 'PU', psim: '(PU)'
PSIM TIER cradily: pkmn: 'PU', psim: '(PU)'
PSIM TIER crustle: pkmn: 'PU', psim: '(PU)'
PSIM TIER dedenne: pkmn: 'PU', psim: '(PU)'
PSIM TIER delcatty: pkmn: 'PU', psim: '(PU)'
PSIM TIER delibird: pkmn: 'PU', psim: '(PU)'
PSIM TIER dewgong: pkmn: 'PU', psim: '(PU)'
PSIM TIER ditto: pkmn: 'PU', psim: '(PU)'
PSIM TIER drifblim: pkmn: 'PU', psim: '(PU)'
PSIM TIER dugtrio: pkmn: 'PU', psim: '(PU)'
PSIM TIER dunsparce: pkmn: 'PU', psim: '(PU)'
PSIM TIER dusknoir: pkmn: 'PU', psim: '(PU)'
PSIM TIER dustox: pkmn: 'PU', psim: '(PU)'
PSIM TIER electivire: pkmn: 'PU', psim: '(PU)'
PSIM TIER electrode: pkmn: 'PU', psim: '(PU)'
PSIM TIER emolga: pkmn: 'PU', psim: '(PU)'
PSIM TIER exeggutor: pkmn: 'PU', psim: '(PU)'
PSIM TIER farfetchd: pkmn: 'PU', psim: '(PU)'
PSIM TIER fearow: pkmn: 'PU', psim: '(PU)'
PSIM TIER flareon: pkmn: 'PU', psim: '(PU)'
PSIM TIER floatzel: pkmn: 'PU', psim: '(PU)'
PSIM TIER furfrou: pkmn: 'PU', psim: '(PU)'
PSIM TIER furret: pkmn: 'PU', psim: '(PU)'
PSIM TIER garchompmega: pkmn: 'OU', psim: '(OU)'
PSIM TIER girafarig: pkmn: 'PU', psim: '(PU)'
PSIM TIER glaceon: pkmn: 'PU', psim: '(PU)'
PSIM TIER glalie: pkmn: 'PU', psim: '(PU)'
PSIM TIER gogoat: pkmn: 'PU', psim: '(PU)'
PSIM TIER golduck: pkmn: 'PU', psim: '(PU)'
PSIM TIER golem: pkmn: 'PU', psim: '(PU)'
PSIM TIER golemalola: pkmn: 'PU', psim: '(PU)'
PSIM TIER gorebyss: pkmn: 'PU', psim: '(PU)'
PSIM TIER gothitelle: pkmn: 'PU', psim: '(PU)'
PSIM TIER gourgeist: pkmn: 'PU', psim: '(PU)'
PSIM TIER gourgeistlarge: pkmn: 'PU', psim: '(PU)'
PSIM TIER gourgeistsmall: pkmn: 'PU', psim: '(PU)'
PSIM TIER gourgeistsuper: pkmn: 'PU', psim: '(PU)'
PSIM TIER granbull: pkmn: 'PU', psim: '(PU)'
PSIM TIER grumpig: pkmn: 'PU', psim: '(PU)'
PSIM TIER gumshoos: pkmn: 'PU', psim: '(PU)'
PSIM TIER gumshoostotem: pkmn: 'PU', psim: '(PU)'
PSIM TIER heatmor: pkmn: 'PU', psim: '(PU)'
PSIM TIER huntail: pkmn: 'PU', psim: '(PU)'
PSIM TIER hypno: pkmn: 'PU', psim: '(PU)'
PSIM TIER illumise: pkmn: 'PU', psim: '(PU)'
PSIM TIER jumpluff: pkmn: 'PU', psim: '(PU)'
PSIM TIER jynx: pkmn: 'PU', psim: '(PU)'
PSIM TIER kecleon: pkmn: 'PU', psim: '(PU)'
PSIM TIER komala: pkmn: 'PU', psim: '(PU)'
PSIM TIER kricketune: pkmn: 'PU', psim: '(PU)'
PSIM TIER lapras: pkmn: 'PU', psim: '(PU)'
PSIM TIER leafeon: pkmn: 'PU', psim: '(PU)'
PSIM TIER leavanny: pkmn: 'PU', psim: '(PU)'
PSIM TIER ledian: pkmn: 'PU', psim: '(PU)'
PSIM TIER lickilicky: pkmn: 'PU', psim: '(PU)'
PSIM TIER lopunny: pkmn: 'PU', psim: '(PU)'
PSIM TIER lumineon: pkmn: 'PU', psim: '(PU)'
PSIM TIER lunatone: pkmn: 'PU', psim: '(PU)'
PSIM TIER luvdisc: pkmn: 'PU', psim: '(PU)'
PSIM TIER luxray: pkmn: 'PU', psim: '(PU)'
PSIM TIER lycanrocmidnight: pkmn: 'PU', psim: '(PU)'
PSIM TIER magcargo: pkmn: 'PU', psim: '(PU)'
PSIM TIER maractus: pkmn: 'PU', psim: '(PU)'
PSIM TIER marowak: pkmn: 'PU', psim: '(PU)'
PSIM TIER masquerain: pkmn: 'PU', psim: '(PU)'
PSIM TIER mawile: pkmn: 'PU', psim: '(PU)'
PSIM TIER meganium: pkmn: 'PU', psim: '(PU)'
PSIM TIER meowstic: pkmn: 'PU', psim: '(PU)'
PSIM TIER meowsticf: pkmn: 'PU', psim: '(PU)'
PSIM TIER mightyena: pkmn: 'PU', psim: '(PU)'
PSIM TIER minun: pkmn: 'PU', psim: '(PU)'
PSIM TIER mothim: pkmn: 'PU', psim: '(PU)'
PSIM TIER mrmime: pkmn: 'PU', psim: '(PU)'
PSIM TIER muk: pkmn: 'PU', psim: '(PU)'
PSIM TIER musharna: pkmn: 'PU', psim: '(PU)'
PSIM TIER ninjask: pkmn: 'PU', psim: '(PU)'
PSIM TIER noctowl: pkmn: 'PU', psim: '(PU)'
PSIM TIER octillery: pkmn: 'PU', psim: '(PU)'
PSIM TIER oranguru: pkmn: 'PU', psim: '(PU)'
PSIM TIER oricorio: pkmn: 'PU', psim: '(PU)'
PSIM TIER oricoriopau: pkmn: 'PU', psim: '(PU)'
PSIM TIER oricoriopompom: pkmn: 'PU', psim: '(PU)'
PSIM TIER pachirisu: pkmn: 'PU', psim: '(PU)'
PSIM TIER parasect: pkmn: 'PU', psim: '(PU)'
PSIM TIER persian: pkmn: 'PU', psim: '(PU)'
PSIM TIER phione: pkmn: 'PU', psim: '(PU)'
PSIM TIER pidgeot: pkmn: 'PU', psim: '(PU)'
PSIM TIER pikachualola: pkmn: 'PU', psim: '(PU)'
PSIM TIER pikachuhoenn: pkmn: 'PU', psim: '(PU)'
PSIM TIER pikachukalos: pkmn: 'PU', psim: '(PU)'
PSIM TIER pikachuoriginal: pkmn: 'PU', psim: '(PU)'
PSIM TIER pikachupartner: pkmn: 'PU', psim: '(PU)'
PSIM TIER pikachusinnoh: pkmn: 'PU', psim: '(PU)'
PSIM TIER pikachuunova: pkmn: 'PU', psim: '(PU)'
PSIM TIER pinsir: pkmn: 'PU', psim: '(PU)'
PSIM TIER plusle: pkmn: 'PU', psim: '(PU)'
PSIM TIER politoed: pkmn: 'PU', psim: '(PU)'
PSIM TIER probopass: pkmn: 'PU', psim: '(PU)'
PSIM TIER purugly: pkmn: 'PU', psim: '(PU)'
PSIM TIER pyukumuku: pkmn: 'PU', psim: '(PU)'
PSIM TIER raichu: pkmn: 'PU', psim: '(PU)'
PSIM TIER rampardos: pkmn: 'PU', psim: '(PU)'
PSIM TIER rapidash: pkmn: 'PU', psim: '(PU)'
PSIM TIER raticate: pkmn: 'PU', psim: '(PU)'
PSIM TIER raticatealola: pkmn: 'PU', psim: '(PU)'
PSIM TIER raticatealolatotem: pkmn: 'PU', psim: '(PU)'
PSIM TIER regice: pkmn: 'PU', psim: '(PU)'
PSIM TIER regigigas: pkmn: 'PU', psim: '(PU)'
PSIM TIER relicanth: pkmn: 'PU', psim: '(PU)'
PSIM TIER rotomfan: pkmn: 'PU', psim: '(PU)'
PSIM TIER sandslash: pkmn: 'PU', psim: '(PU)'
PSIM TIER sawsbuck: pkmn: 'PU', psim: '(PU)'
PSIM TIER seaking: pkmn: 'PU', psim: '(PU)'
PSIM TIER seviper: pkmn: 'PU', psim: '(PU)'
PSIM TIER shedinja: pkmn: 'PU', psim: '(PU)'
PSIM TIER shiftry: pkmn: 'PU', psim: '(PU)'
PSIM TIER shiinotic: pkmn: 'PU', psim: '(PU)'
PSIM TIER shuckle: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvally: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallybug: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallydark: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallydragon: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallyelectric: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallyfighting: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallyfire: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallyflying: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallyghost: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallygrass: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallyground: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallyice: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallypoison: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallypsychic: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallyrock: pkmn: 'PU', psim: '(PU)'
PSIM TIER silvallywater: pkmn: 'PU', psim: '(PU)'
PSIM TIER simipour: pkmn: 'PU', psim: '(PU)'
PSIM TIER simisage: pkmn: 'PU', psim: '(PU)'
PSIM TIER simisear: pkmn: 'PU', psim: '(PU)'
PSIM TIER slaking: pkmn: 'PU', psim: '(PU)'
